Catégorie;Projet;Vote positif;Vote négatif;Description
Des espaces verts, des espaces collectifs, des espaces apaisés;156 - Uniformiser et embellir les façades et enseignes;42;2;Pour embellir Liège, une idée simple: dans tout le centre ville, en Outremeuse etc., de très/trop nombreuses façades d'immeubles sont défigurées par des enseignes hideuses, tapageuses et de gigantesque  néons affreux (rue du Pont d'Avroy, rue de la Régence, Féronstrée et tant d'autres). Je propose que les enseignes soient toutes revues, sans néons, et de tailles similaires - avec liberté totale pour le graphisme et les logos. Prenez l'exemple du centre de Bruges  (il est possible d'avoir une enseigne Mc Do discrète, par exemple), ou de Gand. Dans le centre de ces deux villes les enseignes ne sont pas criardes et ça ne nuit aucunement au commerce. Simultanément, revoir l'éclairage public avec l'extinction de la lumière des néons, et pas seulement là où il est déjà déficient (sur le bd Sauvenière au niveau du terrain vague des anciens locaux de la Meuse).
Des espaces verts, des espaces collectifs, des espaces apaisés;163 - Eclairage des bâtiments historiques;50;4;"Plus grande mise en évidence lumineuse des bâtiments historiques et culturels de Liège.

L'éclairage des bâtiments et édifices  Liégeois sont  faiblement mis en évidence.
Ce n'est pas beau ,  c'est léger, pas bien étudié et ça reste sombre. Pourtant, la Ville de Liège possède un potentiel important en matière d'architecture .

L'idée est de souligner les bâtiments historiques et/ou publiques et édifices de caractères, de manière intense et remarquable : Histoire de se dire :"" Quel magnifique architecture"" . Plutôt que "" Peut mieux faire"". 
S’arrêter donc sur l’émerveillement d'une façade classée (ou non), plutôt que  de se focaliser sur son éclairage fade. 
Éclairer, magnifier Liège refléterait des valeurs , une fierté !

Avec les technologies d'éclairage simples et économiques actuelles, il est possible de sublimer l'architecture Liégeoise.

Impact positif sur le tourisme et les Liégeois garanti !"
La mobilité;233 - Un plan de stationnement citoyen;29;8;Les habitants sont les experts d'usage du plan de stationnement que les concerne à l'échelle de leur voisinage  sous-quartier. Décider arbitrairement de supprimer des places de parking sans connaître les contraintes du lieu est source de colère chez  les habitants. Tout le monde ne peut circuler en vélo (âge, travail....) ou alors on décide que certains quartiers (Botanique) sont voués à la kotification et de forcer à l'exil en périphérie des familles qui ont besoin de leur voiture (perte sur l'assiette fiscale).
La mobilité;250 - Un radar fixe sur le  Boulevard de l'Automobile;65;24;"Un radar fixe sur l'entrée/la sortie du Boulevard de l'Automobile au niveau du feu de signalisation.

Le Boulevard de l'automobile est actuellement limité à une vitesse de 50 kilomètres/heure. De nombreux camions, motos et voitures y passent très souvent à des vitesses totalement aberrantes. Tant en journées, qu'en soirées.
Le sol et les murs des maisons voisines en viennent même à trembler sous la force des vibrations lors du passage de ces camions.

Une école maternelle se trouve pourtant à proximité.
Un feu est effectivement présent au niveau du passage pour piéton le plus proche (passage pour piétons non entretenu), mais souvent, malgré le feu rouge, des voitures passent tout de  à des vitesses ahurissantes.

La route se dégrade également très rapidement dans cette zone, compte tenu des nombreux passages, du gel en hiver, de la vitesse et des vibrations du sol.

Comment l'idée améliore-t-elle la ville?

Cela permettrait à la ville de ramener de l'argent dans ses caisses et de prévenir des dégâts de la route.
Cela permettrait également de protéger piétons.

Que faut il mettre en oeuvre pour la réaliser?

Créer un rappel de zone 50 dans la zone OU limiter la vitesse à 30 km/h avant le passage pour piétons.

Mais surtout, placer un radar dans les 2 sens de circulation avant le passage pour piétons, étant donné que les vitesses limites sont très souvent ignorées."
Inclassables;283 - Une police pour les incivilités;138;14;"Les petites incivilités sont extrements courantes en ville: jets de mégots,  jets de papiers, piétons et cyclistes  brûlants les feux rouges, vélos roulants sur les trottoirs,  jets de chewing-gum,  abandons de canettes,  etc. Je propose de créer une police pour les incivilités citadines.

jets de mégots,  jets de papiers, piétons et cyclistes  brûlants les feux rouges, vélos roulants sur les trottoirs,  jets de chewing-gum,  abandons de canettes, ...etc...

Pourtant nous avons tous l'impression que ces ""délits "" restent souvent impunis! La police actuelle à autre chose à faire que d'interpeller une personne venant de jeter son mégot ou un piéton venant de traverser au rouge.

Cependant, ces incivilités,  qui selon la loi sont punissables , sont un vrai fléau en ville.  Une police ""civile"" à pieds ou à vélo  , parcourant les méandres de notre cité ardente pourrait être très utile afin de limiter ces actes souvent effectués consciemment par la population, nous! 


Cannes et Paris, deux grandes villes ont franchis le pas et sont très actives contre les incivilités."
Des espaces verts, des espaces collectifs, des espaces apaisés;299 - Des ponts passerelles;12;13;"La Belgique est un pays pluvieux : prévoir la protection de pluie par des tunnels ou des ponts transparents. Mon idée est de créer  des ponts  passerelles qui rejoignent à l'autre bout d'un bâtiment . Pourquoi : tout d'abord la Belgique est un pays pluvieux . Les gens n'aiment pas se balader sous la pluie et venteux parfois . 
Cela  motivera à faire venir des clients à venir en ville , même sous un temps pluvieux ."
Art, Culture, Patrimoine, Tourisme;317 - Restauration et entretien du patrimoine;74;2;"Faire des projets d’assainissement et d’embellissement de quartier réalisé avec des professionnel et citoyens

Choisir des formateur (architecte jardin, paysage, ravalement de façade)

Motiver les bas revenus (chômeurs, cpas, pensionné...) pour exécuter les travaux,  guider par des formateur"
La mobilité;337 - Cohabitation cyclistes piétons;102;11;"La cohabitation entre piétons et cyclistes posent souvent des problèmes  de sécurité dans certaines rues piétonnes de notre cité ( rue Saint Paul, Gérardrie,  Vinave d'ile...)
Pourquoi ne pas installer des panneaux "" cyclistes à terre"" comme cela se fait 
dans certaines villes comme Maastricht où  le centre piétonnier très fréquenté est 
interdit aux cyclistes sur leur vélo."
Des espaces verts, des espaces collectifs, des espaces apaisés;364 - Restauration/Nettoyage des façades;58;0;"Liège est une ville aux bâtiments vraiment beaux architecturement parlant, pourtant quand on marche dans le centre, personne ne lève les yeux vers les façades des magasins. Celles-ci sont grises, vieilles et mal-entretenues, mais ça pourrait changer.
Quand on se promène à Bruxelles, on trouve cela magnifique, pourtant Liège y ressemble plutôt. Notre ville est belle, elle n'est juste pas soignée. Mon projet est simple, restaurer et/ou nettoyer les façades du centre ville de Liège (Boulevard d'avroi, rue vînave d'ile,...) et de demander à certains commerçants de soigner un peu plus leur vitrine (je pense notamment aux vendeurs de pita, etc). Ce n'est pas très compliquée mais cela donnerait un nouveau souffle à la ville et redorerait notre joli patrimoine!"
Ville participative, Collaborative et Numérique;387 - Location de chaises longues;32;12;Pourquoi ne pas instaurer la location de chaises longues sur les nouveaux quais de Meuse ? Cela permettrait aux liégeois de s'approprier les pelouses le long de la Meuse.
Des espaces verts, des espaces collectifs, des espaces apaisés;400 - Tivoli, un pôle d'urbanisme évolutif;34;2;"Faire de l'espace Tivoli un pôle d'urbanisme temporaire et évolutif

Cette étendue de graviers qu'est l'espace Tivoli, jouxtant la place Saint-Lambert, représente un site à haut potentiel au coeur de Liège.
Actuellement partiellement assumé comme espace dédié à certains types de manifestations, il est, majoritairement, inoccupé.
L'urbanisme temporaire s'affirme aujourd'hui comme une solution pour revaloriser l'espace urbain en intégrant les citadins et usagers.
Cet espace pourrait, avec ou sans l'installation de structure permanente (il existe aujourd'hui des structures gonflables pouvant convenir également à ce type d'urbanisme, par exemple le projet ""Bulle d'Air""), devenir un organe emblématique, générateur du dynamisme de la ville de Liège.
Les possibilités qui s'offrent alors pour l'utilisation de ce lieu, assumé comme évolutif, sont multiples.
Allant de collaboration avec des artistes ou des associations, des événements culturels, des événements populaires, des ateliers de travail ou de formation, des mises en place de potagers ou parterres partagés durant les mois les plus adaptés et permettant d'apprendre comment générer des boutures pour végétaliser le centre ville,...
Les choix des projets pourraient résulter d'une consultation publique intégrant alors le citoyen et les usagers dans les actions menées.
Le cumule des conclusions des projets évolutifs permettront peut-être de définir un projet définitif réellement adapté à ce lieu.

Bref, let's go !

P.S. : Nous avons déjà eu l'occasion de nous pencher sur cette thématique avec des usagers lors d'un travail de fin d'étude.
Cette proposition d'urbanisme temporaire et évolutif émane d'ailleurs du travail réalisé dans le cadre de l'évaluation d’une méthodologie participative. 
(consultable via ce lien : https://issuu.com/laurabaiwirarchitecture/docs/tfe_laura_baiwir )."
Ville participative, Collaborative et Numérique;415 - Information sur des écrans géants;39;26;"Information sur la Ville de Liège par  des écrans géants à led

WINLIGHT c’est aussi des solutions de communication outdoor et indoor par écrans géants à led, visible au soleil .Permettent la diffusion de l’information d’un simple clic à distance
Faire des inscriptions en différents couleurs en suivant l'intensité du danger de l'info jusqu'au plus agréable .
En cas d'alerte :inscription en rouge , en clignotant en rouge 
En cas de prom. , avantage ... ect  :  inscription en vert , en clignotant 
En cas d'attention : inscription orange 

Les banderoles d'inscriptions au dessus de la galerie de l'opera est invisible et petit à lire ."
